Title,Author,Year,Subjects
Measuredlies :Thebellcurveexamined,edited by Joe L,1996,"['Intellect.', 'Natureandnurture.', 'Intelligencelevels--United States.', 'Intelligencelevels--Socialaspects--United States.', 'Herrnstein,Richard J.--Bellcurve.', 'Racisminpsychology. Kincheloe,Shirley R.Steinberg,and Aaron D. Gresson III.']"
"Intelligence,race,andgenetics: conversationswith Arthur R",,2002,"['Intelligencetests--Socialaspects.', 'Intelligencelevels--Socialaspects.', 'Psychometrics.', 'Racisminpsychology.', 'Jensen,Arthur Robert.', 'Jensen,Arthur Robert--Bibliography. Jensen/Frank Miele.']"
"Theracebomb:skin color,prejudice,andintelligence",Paul R,1977,"['Intellect.', 'Intelligence tests.', 'Racism. Ehrlichand S.Shirley Feldman.']"
"IQ,heritability,andracism",by James M,1978,"['Lawler. 1978. Intelligencelevels.', 'Intelligence tests.', 'Natureandnurture.', 'Racism.']"
"Legacyofhate:ashort historyofethnic,religious,andracial c 1999",,,"['Hate--United States.', 'Prejudices--United States.', 'Racism--United States.', 'Discrimination--Religiousaspects--United States.', 'United States--Racerelations.', 'United States--Socialconditions. prejudicein America/Philip Perlmutter.']"
Arewe bornracist?:newinsightsfrom neuroscienceandpositive c 2010,,,"['Prejudices.', 'Racism--Psychologicalaspects. psychology/editedby Jason Marsh,Rodolfo Mendoza-Denton, and Jeremy Adam Smith.']"
Thesocialpsychologyofinterpersonaldiscrimination,editedby c 1995,,"['Prejudices.', 'Discrimination.', 'Racism.', 'Stereotypes(Socialpsychology) Bernice Lott,Diane Maluso', 'forewordby Stuart Oskamp.']"
"Gender, sex,and sexuality:contemporarypsychological 1994",,,"['Sex(Psychology)', 'Sexdifferences(Psychology)', 'Genderidentity. perspectives/Gerda Siann.']"
"Gender, nature,andnurture",Richard A,2002,"['Lippa. 2002. Sexdifferences(Psychology)', 'Genderidentity.', 'Natureandnurture.']"
"Thetwosexes:growingupapart,comingtogether",Eleanor E,1998,"['Sexdifferences(Psychology)', 'Genderidentity.', 'Man-womanrelationships. Maccoby.']"
Thepsychologyofgender,editedby Anne E,1993,"['Beall,Robert J. c 1993. Sexdifferences(Psychology)', 'Genderidentity.', 'Sex(Psychology) Sternberg', 'forewordby Ellen Berscheid.']"
Psychologyofgenderidentity,Janice W,2005,"['Lee, editor. c 2005. Genderidentity.']"
Towardanewpsychologyofgender:[a reader],editedby Mary 1997,,"['Sexdifferences(Psychology)', 'Feministpsychology.', 'Sexrole--Psychologicalaspects.', 'Genderidentity.', 'Women--Psychology. M.Gergenand Sara N.Davis.']"
"Bodypanic:gender,health,andthesellingoffitness",Shari L,2009,"['Bodyimage--United States.', 'Advertising,Magazine--United States.', 'Culture.', 'Genderidentity--United States.', 'Physicalfitness--United States.', 'Exercise--Psychologicalaspects. Dworkinand Faye Linda Wachs.']"
Deliverus fromevil:resistingracial and genderoppression,James c 1996,,"['Christianityandjustice.', 'Goodandevil.', 'Racism--Religiousaspects--Christianity.', 'Racism--United States.', 'African Americans--Crimesagainst--United States.', 'Sexism--Religiousaspects-- Newton Poling. Christianity.', 'Women--Crimesagainst--United States.', 'Sexism--United States.', 'United States--Racerelations.', 'United States--Moralconditions.']"
Themyth ofequality:uncoveringtheroots ofinjusticeand [2017] Christianityandjustice,,2025,"['Racism--United States.', 'United States--Racerelations.', 'Equality--Religiousaspects--Christianity.', 'Nonfiction. privilege/Ken Wytsma. Page 2 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Whitetoolong:thelegacyofwhitesupremacyin American 2020,,,"['Churchhistory.', 'History.', 'United States--Churchhistory.', 'Christians,White--United States--History.', 'Racism--Religiousaspects--Christianity.', 'Racerelations--Religiousaspects--Christianity.', 'Christianity/Robert P.Jones. Racism--United States.']"
White evangelicalracism:thepoliticsofmoralityin America,[2021] Evangelicalism--United States--History,,"['Racism--Religiousaspects--Christianity.', 'Christians,White--United States--History.', 'Religionandpolitics--United States--History.', 'Racism--United Anthea Butler. States--History.', 'United States--Churchhistory.', 'United States--Racerelations.']"
"Mansexfine:religion,manlinessand imperialisminnineteenth- 1998",,,"['Great Britain--Religion--19 thcentury.', 'Genderidentity--Great Britain--19 thcentury.', 'Sex--Religiousaspects--Great Britain--19 thcentury.', 'Masculinity--Religiousaspects--Christianity.', 'century Britishculture/David Alderson. Imperialism--Religiousaspects--Christianity.', 'Great Britain--Civilization--19 thcentury.']"
Racialjusticeandthe Catholic Church,Bryan N,2010,"['Massingale. c 2010. Racism--Religiousaspects--Catholic Church.', 'Racerelations--Religiousaspects--Catholic Church.', 'Christianityandjustice--Catholic Church.', 'Socialjustice--Religiousaspects--Catholic Church.']"
Continuingperspectivesonthe Black Diaspora,editedwith c 2009,,"['|Blacks--History.', 'Africandiaspora--History.', 'Racism--History.', 'Slavery--History.', 'Racerelations. introductionsby Aubrey W.Bonnettand Calvin B. Holder.']"
"Josiah Nottof Mobile southerner, physician, andracialtheorist",c 1987,,"['Nott,Josiah C.--(Josiah Clark),--1804-1873.', 'Physicians--United States--Biography.', 'Racism--United States--History--19 thcentury.', 'Blackrace.', 'Southern States--Biography. Reginald Horsman.']"
Insearchof Catalinade Erauso :thenationaland sexualidentityof c 2009,,,"['Erauso,Catalinade,--approximately 1592-', 'Spain--Biography.', 'Latin America--Biography.', 'Soldiers--Latin America--Biography.', 'Womensoldiers--Latin America--Biography.', 'Basques--Latin thelieutenantnun/Eva Mendieta', 'translated by Angeles Prado. America--Biography.', 'New Spain--History--17 thcentury.', 'National characteristics--Casestudies.', 'Genderidentity--Casestudies.', 'Nuns--Spain--País Vasco--Biography.']"
Racewar:whitesupremacyandthe Japaneseattackonthe British c 2004,,1939,"['World War, 1939-1945--Pacific Area.', 'World War, 1939-1945--Asia.', 'World War,1939-1945--Japan.', 'Caucasianrace--Socialconditions.', 'Racism--Japan.', 'Racism--Asia.', 'Racism--Pacific Empire/Gerald Horne. Area.', 'Asia--Racerelations.', 'Pacific Area--Racerelations.', 'Japan--Racerelations.']"
"Memorializingthe Holocaust: gender, genocide andcollective 2010",,,"['Holocaustmemorials.', 'Collectivememory.', 'Jewishwomeninthe Holocaust.', 'Genderidentity.', 'Memorialization. memory/Janet Jacobs.']"
"Half American:the epic storyof African Americansfighting [2022] World War, 1939-1945--Participation,African American",,1939,"['World War,1939-1945--African Americans.', 'World War, 1939-1945--Socialaspects--United States.', 'African Americansoldiers-- World War IIathomeandabroad/Matthew F.Delmont. History--20 thcentury.', 'African Americans--Civilrights--History--20 thcentury.', 'Racediscrimination--United States--History--20 thcentury.', 'Racism--United States--History--20 thcentury.', 'Racismagainst Blackpeople--United States--History--20 thcentury.', 'United States--Armed Forces--African Americans--History--20 thcentury.', 'United States--Racerelations--History--20 th century.']"
Why I'm nolongertalkingtowhite people aboutrace,Reni Eddo- 2019,,"['Eddo-Lodge,Reni.', 'Racism--Great Britain.', 'Racediscrimination--Great Britain.', 'Socialclasses--Great Britain--Racerelations.', 'Racerelations--History. Lodge.']"
Monsieurd'Eonisawoman:atale ofpoliticalintrigueandsexual 2001,,,"[""Eonde Beaumont,Charles Geneviève Louis Auguste AndréTimothéed',--1728-1810."", 'Femaleimpersonators--France--Biography.', 'Diplomats--France--Biography.', 'France--Foreignrelations-- masquerade/Gary Kates. 1715-1774.', 'Genderidentity--France--History--18 thcentury.']"
Blunt instruments:recognizingracistcultural infrastructurein [2022] Memorials--Socialaspects--United States,,,"['Monuments--Socialaspects--United States.', 'Historic sites--Socialaspects--United States.', 'Culturalproperty--United States.', 'Museumsand memorials,museums,andpatrioticpractices/Kristin Ann Hass. minorities--United States.', 'Racism--United States--History.', 'Patriotism--United States--History.', 'United States--Racerelations--History.']"
Thisviolentempire :thebirthofan Americannationalidentity,c 2010,,"['Nationalcharacteristics,American--History--18 thcentury.', 'United States--Civilization--1783-1865.', 'Men,White--United States--Attitudes--History--18 thcentury.', 'Difference(Psychology)-- Carroll Smith-Rosenberg. Politicalaspects--History--United States--18 thcentury.', 'Politicalculture--United States--History--18 thcentury.', 'Violence--United States--History--18 thcentury.', 'Racism--United States-- History--18 thcentury.', 'Paranoia--United States--History--18 thcentury.', 'Sexism--United States--History--18 thcentury.', 'Marginality,Social--United States--History--18 thcentury.']"
"Theshowmanandtheslave:race,death, andmemoryin Barnum's 2001",,,"['Popularculture--United States--History--19 thcentury.', 'Barnum,P.T.--(Phineas Taylor),--1810-1891.', 'Heth,Joice,---1836.', 'Womenslaves--United States--Biography.', 'Freakshows--Social America/Benjamin Reiss. aspects--History--United States--19 thcentury.', 'Whites--Raceidentity--United States.', 'African Americans inpopularculture--History--19 thcentury.', 'Racisminpopularculture--United States-- History--19 thcentury.', 'Deathinpopularculture--United States--History--19 thcentury.', 'Northeastern States--Racerelations.']"
"Neverone nation:freaks,savages, and whiteness in U",,2005,"['S.popular c 2005. Popularculture--United States--History--19 thcentury.', 'Racism inpopularculture--United States--History--19 thcentury.', 'Whites--Raceidentity--United States.', 'African Americansinpopular culture,1850-1877/Linda Frost. culture--History--19 thcentury.', 'Indiansinpopularculture--United States--History--19 thcentury.', 'Freakshows--Socialaspects--History--United States--19 thcentury.']"
"America,Amerikkka :electnationand imperialviolence",2007,,"['United States--Foreignrelations.', 'United States--Territorialexpansion.', 'Imperialism--History.', 'Politicalmessianism--United States--History.', 'Religionandpolitics--United States--History.', 'Rosemary Radford Ruether. United States--Politicsandgovernment.', 'Nationalcharacteristics,American.', 'Racism--Politicalaspects--History.--United States', 'United States--Racerelations--Politicalaspects.', 'Protest movements--United States--History.']"
Raceinsociety:theenduring Americandilemma,Margaret L,2017,"['United States--Racerelations.', 'Racism--United States.', 'Minorities--United States--Socialconditions.', 'Race. Andersen, Universityof Delaware. Page 3 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Theethnicproject: transformingracialfictionintoethnicfactions,2013,,"['Ethnicity--United States--History.', 'Racism--United States--History.', 'Race--Socialaspects--History.--United States', 'United States--Ethnicrelations--History. Vilna Bashi Treitler.']"
Racismwithoutracists :color-blindracismandthepersistenceof [2014] Minorities--United States--Socialconditions,,,"['Minorities--United States--Economicconditions.', 'Racism--United States.', 'United States--Racerelations. racial inequalityin America/Eduardo Bonilla-Silva.']"
Racismwithoutracists :color-blindracism andthepersistenceof [2018] Minorities--United States--Socialconditions,,,"['Minorities--United States--Economicconditions.', 'Racism--United States.', 'United States--Racerelations. racial inequalityin America/Eduardo Bonilla-Silva.']"
Whiteout understandingwhiteprivilegeanddominanceinthe [2017] Whites--Raceidentity--United States,,,"['Racism--United States.', 'Socialstratification--United States. modernage/Christopher S.Collinsand Alexander Jun.']"
Racecraft:thesoulofinequalityin American life,Karen E,2014,"['Fields 2014. Racism--United States--History.', 'Racisminanthropology--United States--History.', 'Physicalanthropology--United States--History. and Barbara J. Fields.']"
"Howtobelessstupidaboutrace onracism,Whitesupremacy, [2018] Race awareness--United States",,,"['Racism--United States.', 'United States--Racerelations.', 'SOCIALSCIENCE--Discrimination&Race Relations.', 'SOCIALSCIENCE--Ethnic Studies.', 'andtheracialdivide/Crystal M. Fleming. SOCIALSCIENCE--Sociology--Social Theory.', 'Raceawareness.', 'Racerelations.', 'Racism.', 'United States.']"
Richthankstoracism:howtheultra-wealthyprofitfromracial 2021,,,"['Race discrimination--Economicaspects--United States.', 'Racism--Economicaspects--United States.', 'Minorities--United States--Economicconditions.', 'United States--Racerelations--Economic injustice Jim Freeman. aspects.']"
"Onthefaultline:race,class,andthe Americanpatriotmovement",c 2003,,"['Whitesupremacymovements--United States.', 'Patriotism--Politicalaspects--United States.', 'Whites--United States--Politicsandgovernment.', 'Whites--Raceidentity--United States.', 'Whites-- Carolyn Gallaher. Kentucky--Politicsandgovernment.', 'United States--Rural conditions.', 'Kentucky--Ruralconditions.', 'Workingclass--United States--Politicalactivity.', 'United States--Racerelations--Political aspects.:Racism--Politicalaspects--United States.']"
Bindusapart howenlightened Americans inventedracial [2016] |Racism--United States--History,,,"['United States--Racerelations--History--18 thcentury.', 'United States--Racerelations--History--19 thcentury.', 'Indiansof North America--Colonization--United segregation/Nicholas Guyatt. States.', 'African Americans--Colonization--Africa.']"
"Mergeleft:fusingrace and class, winningelections, andsaving 2019",,,"['Racism--Politicalaspects--United States.', 'Post-racialism--United States.', 'Rightandleft(Politicalscience)--United States.', 'United States--Racerelations--Politicalaspects.', 'United States-- America/Ian Haney L<U+fffd>opez. Politicsandgovernment--21 stcentury.']"
Home-grownhate:genderandorganizedracism,Abby L,2004,"['Ferber, 2004. Whitesupremacymovements--United States--History--20 thcentury.', 'Racism--United States--History--20 thcentury.', 'Sexism--United States--History--20 thcentury.', 'Hate--United States.', 'editor. United States--Racerelations.', 'United States--Socialconditions--1980-']"
Honorbound :raceandshamein America,David Leverenz,2012,"['United States--Racerelations--History.', 'Racism--United States--History.', 'Nationalcharacteristics,American--History.', 'Politicalculture--United States--History.', 'Shame--United States.', 'Honor- -United States.', 'Socialvalues--United States.', 'Raceinliterature.', 'Racerelationsinliterature.', 'Literatureandsociety--United States--History.']"
"Themythofracialcolorblindness : manifestations, dynamics,and [2016] Post-racialism--United States--Philosophy",,,"['Post-racialism--United States.', 'Raceawareness--United States.', 'Racism--United States.', 'Ethnicity--United States--Psychologicalaspects.', 'United impact/editedby Helen A.Neville, Miguel E.Gallardo, and States--Racerelations--Psychologicalaspects.', 'Ethnicity--United States--Philosophy.', 'United States--Racerelations--Philosophy. Derald Wing Sue.']"
Soyouwanttotalkaboutrace,Ijeoma Oluo,2018,"['United States--Racerelations.', 'Interculturalcommunication.', 'Racism--United States.']"
Morebeautifulandmoreterrible:theembraceandtranscendence 2011,,,"['Racism--United States.', 'United States--Racerelations. ofracialinequalityinthe United States/Imani Perry.']"
Whiteness andracializedethnic groups inthe United States:the 2013,,,"['Whites--Raceidentity--History.--United States', 'Whites--United States--Attitudes--History.', 'Raceawareness--United States--History.', 'Racism--United States--History.', 'United States--Race politics ofremembering/Sherrow O.Pinder. relations--History.']"
Reproducingracism:howeverydaychoiceslockinwhite [2014] Racism--United States,,,"['Whites--United States--Economic conditions.', 'Whites--United States--Socialconditions.', 'Minorities--United States--Economicconditions.', 'Minorities--United States-- advantage/Daria Roithmayr. |Socialconditions.', 'Race discrimination--United States.', 'United States--Racerelations.']"
Savageperils :racialfrontiersandnuclear apocalypsein American c 2007,,,"['Racism--United States--History.', 'United States--Racerelations.', 'Nationalcharacteristics,American.', 'Warandcivilization--United States.', 'Nuclearwarfare--Socialaspects--United States.', 'culture/Patrick B. Sharp. Frontierthesis.', 'Darwin, Charles,--1809-1882--Influence.', 'Racisminliterature.', 'Nuclearwarfareinliterature.', 'Sciencefiction--Historyand criticism.']"
Americanswastika insidethewhitepowermovement'shidden c 2010,,,"['Whitesupremacymovements--United States.', 'Hategroups--United States.', 'Racism--United States.', 'Terrorism--United States.', 'United States--Racerelations. spacesofhate/Pete Simi and Robert Futrell.']"
Americanswastika insidethewhitepowermovement'shidden [2015] Whitesupremacymovements--United States,,,"['Hategroups--United States.', 'Racism--United States.', 'Terrorism--United States.', 'United States--Racerelations. spacesofhate/Pete Simi and Robert Futrell.']"
Reproducingrace:theparadox ofgenerationmix,Rainier Spencer,2011,"['Raciallymixedpeople--Race identity--United States.', 'Post-racialism--United States.', 'United States--Racerelations.', 'Racism--United States.', 'Marginality,Social--United States. Page 4 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Animpossible dream?:racialintegrationinthe United States,[2017] United States--Racerelations,,"['United States--Racerelations--Moral and ethicalaspects.', 'Multiculturalism--United States.', 'Anti-racism--United States.', 'Whites--United States--Attitudes. Sharon A. Stanley.']"
Thenewwhitenationalism in America: its challengetointegration 2002,,1980,"['Whitesupremacymovements--United States.', 'United States--Racerelations.', 'United States--Ethnicrelations.', 'Racism--United States.', 'Hategroups--United States.', 'United States--Social /Carol M.Swain. conditions--1980-']"
Thechangingnature ofracialandethnic conflictin United States c 2002,,,"['United States--Racerelations--History.', 'United States--Ethnicrelations--History.', 'Racism--United States--History. history:1492 tothepresent/Leslie V.Tischauser.']"
Fireintheheart:howwhiteactivistsembraceracialjustice,Mark 2010,,"['United States--Racerelations.', 'Racediscrimination--United States.', 'Racism--United States.', 'Whites--United States--Attitudes.', 'Socialaction--United States. R.Warren.']"
Thereligion ofwhite supremacyinthe United States,Eric A,2017,"['Whites--Raceidentity--United States.', 'Whitesupremacymovements--United States--Religiousaspects.', 'Protestantism--United States--History.', 'Racism--Religiousaspects--Christianity-- Weed. History.']"
Whiteout thecontinuingsignificanceofracism,edited by Ashley 2003,,"['United States--Racerelations.', 'Whites--Raceidentity--United States.', 'Racism--United States. ""Woody""Doaneand Eduardo Bonilla-Silva.']"
Markoneormore civilrightsin multiracial America,Kim M,2006,"['|United States--Racerelations.', 'Raciallymixedpeople--Civilrights--United States.', 'Raciallymixedpeople--Raceidentity--United States.', 'Raciallymixedpeople--Politicsandgovernment-- Williams. |United States.', 'Raceawareness--United States.', 'Racism--United States.', 'Ethnicity--United States.']"
Speakingtreasonfluently: anti-racistreflections fromanangry c 2008,,,"['Anti-racism--United States.', 'Racism--United States.', 'United States--Racerelations.', 'Whites--United States--Attitudes.', 'Denial(Psychology)--Socialaspects--United States.', 'Wise,Tim J. whitemalespea[k]ing/Tim Wise.']"
Between Barackandahardplace racism andwhitedenialinthe c 2009,,,"['Whites--Raceidentity--United States.', 'Whites--United States--Attitudes.', 'Racism--United States.', 'United States--Racerelations.', 'Obama,Barack. ageof Obama/Tim Wise.']"
"Americanskin:popculture,bigbusiness, andtheendofwhite c 2002",,,"['United States--Racerelations.', 'Popularculture--United States--History--20 thcentury.', 'Whites--Raceidentity--United States.', 'African Americansinpopularculture--History.', 'Racism--United America/Leon E.Wynter. States--History--20 thcentury.', 'Racism--Economicaspects--History--United States--20 thcentury.', 'Marketing--Socialaspects--History--United States--20 thcentury.']"
Bloodand politics :thehistoryofthewhitenationalistmovement 2009,,1945,"['Whitesupremacymovements--United States--History.', 'Nationalism--United States--History.', 'Whites--Raceidentity--United States.', 'Whites--United States--Politicsandgovernment.', 'Racism-- fromthemarginstothe mainstream/Leonard Zeskind. |United States--History.', 'United States--Racerelations.', 'United States--Ethnicrelations.', 'United States--Politicsandgovernment--1945-1989.', 'United States--Politicsandgovernment--1989-']"
Whitewashed:America's invisible Middle Easternminority,John c 2009,,"['Arab Americans--Social conditions.', 'Iranian Americans--Socialconditions.', 'Turkish Americans--Socialconditions.', 'Arab Americans--Legalstatus,laws,etc.', 'Iranian Americans--Legalstatus, Tehranian. laws, etc.', 'Turkish Americans--Legalstatus,laws, etc.', 'Whites--Raceidentity--United States.', 'Racism--United States.', 'Racediscrimination--United States.', 'United States--Racerelations.']"
Themythofthemodel minority:Asian Americansfacingracism,c 2008,,"['Asian Americans--Socialconditions.', 'Racediscrimination--United States.', 'Racism--United States. Rosalind S. Chouand Joe R. Feagin.']"
Theraciallogic ofpolitics:Asian Americansandparty 2007,,,"['Asian Americans--Politics andgovernment.', 'Asian Americans--Civilrights.', 'Politicalparticipation--United States.', 'Politicalparties--United States.', 'Racism--Politicalaspects--United States.', 'competition/Thomas P.Kim. United States--Racerelations--Politicalaspects.']"
