id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths
1426126,Drucker Diagnostics,Drucker Diagnostics,,200 Shady Lane,Philipsburg,PA,16866,333999," Centrifuges, industrial and laboratory-type, manufacturing ",93,193440,1,0
1426127,Challenge Manufacturing,Challenge Kentucky,382373161,110 Continental Drive,Richmond,KY,40475,336370, Motor vehicle metal parts stamping ,150,343109,1,0
1426128,"Graham & Sons, Inc.","Graham & Sons, Inc.",251242025,109 Burke Street,Ellwood City,PA,16117,238910, Grading construction sites ,24,39060,2,0
1426129,"Holohan Heating & Sheetmetal, Inc.","Holohan Heating & Sheetmetal, Inc.",362548489,575 W Seneca Street,Kankakee,IL,60901,238220," Heating, ventilation and air-conditioning (HVAC) contractors ",28,55030,2,0
1426130,"Cloverdale Lumber Co., Inc.","Cloverdale Lumber Co., Inc.",540624562,5863 S. Boston Hwy,Sutherlin,VA,24594,321113, Sawmills ,26,54080,1,0
1426131,Challenge Manufacturing,Challenge Alabama (Challenge Manufacturing Plant 9),382373161,1192 County Rd,Cusseta,AL,36852,336370, Motor vehicle metal bumper stampings ,64,130275,1,0
1426132,Dale Crampton Company,Dale Crampton Company,710383793,710 Division Street,Fort Smith,AR,72904,238160, Roofing contractors ,22,42724,1,0
1426133,Smith Filter Corporation,Smith Filter Corporation,362153531,5000 41st St Ct,Moline,IL,61265,333413," Air purification equipment, stationary, manufacturing ",86,172000,1,0
1426134,Dostie Homes,Dostie Homes LLC,275108332,9301 Old Kings Road South,Jacksonville,FL,32257,236117," For-sale builders (i.e., building on own land, for sale), residential ",24,49920,2,0
1426135,Challenge Manufacturing,St. Louis World Class Manufacturing (Challenge Manufacturing Plant 5),382373161,35 Corporate Woods Dr,Bridgeton,MO,63044,336370, Motor vehicle metal parts stamping ,140,192943,1,0
1426136,Kingsouth Construction,Kingsouth Construction,201549817,9301 Old Kings Road South,Jacksonville,FL,32257,236220," Addition, alteration and renovation general contractors, commercial and institutional building ",6,12480,2,0
1426137,"Environmental Waste Minimization, Inc.","Environmental Waste Minimization, Inc.",232827092,14 Brick Kiln Ct,Northampton,PA,18067,562910, Environmental remediation services ,98,187543,2,0
1426138,Pinnacle Health & Rehab at Sanford,Pinnacle Health & Rehab at Sanford,842268803,1142 Main Street,Sanford,ME,4073,623110, Nursing homes ,108,122615,1,0
1426139,"Paramount Services, Inc.","Paramount Services, Inc.",630414233,2917 Lomb Avenue,Birmingham,AL,35208,812331," Laundry services, linen supply ",40,83200,1,0
1426140,Adams County Nursery Inc,Adams County Nursery Inc,232055347,26 Nursery Rd,Aspers,PA,17304,111421," Fruit stock (e.g., plants, seedlings, trees) growing ",70,163800,1,0
1426141,"S Brothers Waste Services, Inc",S Brothers Waste Services Inc,208529790,512 W. Texas Ave.,ARTESIA,NM,88210,484110," General freight trucking, local ",17,38005,2,0
1426142,Stamper Electric Holdings,Stamper Electric,521534294,1379 W. Jarrettsville Road,Forest Hill,MD,21050,238210, Electrical contractors ,32,67151,1,0
1426143,"Hansen Kramer Stucco, Inc.","Hansen Kramer Stucco, Inc.",860608397,2100 E. Beverly Drive,Tucson,AZ,85719,238310," Plastering (i.e., ornamental, plain) contractors ",20,41600,1,0
1426144,Hose Mster,Cleveland,341363520,1233 East 222nd Street,Euclid,OH,44117,332999," Tubing, flexible metal, manufacturing ",340,669000,1,0
1426145,Depor Industries Inc.,Depor Industries Troy Michigan,382002887,1902 Northwood ,Troy,MI,48084,332812, Aluminum coating of metal products for the trade ,45,9000,1,0
1426146,Concord Hospitality ,Renaissance Baronette Hotel,382807822,27790 Novi Rd,Novi,MI,48377,721110," Hotel management services (i.e., providing management and operating staff to run hotel) ",50,83200,1,0
1426147,Alma Pak International,Alma Pak International,822899894,230 Pineview Road,Alma,GA,31510,115115, Agriculture production or harvesting crews ,77,3311,2,0
1426148,"Hurst Jaws of Life, Inc.","Hurst Jaws of Life, Inc.",230666140,711 N. Post Road,Shelby,NC,28150,333991," Tools, handheld power-driven, manufacturing ",58,105439,1,0
1426149,"Walsh Masonry, Inc.",Walsh Masonry Inc,391492586,N8081 Maple Street,Ixonia,WI,53036,238140, Bricklaying contractors ,50,86538,1,0
1426150,D & R GARAGE DOORS PLUS INC,D & R GARAGE DOORS PLUS,341959280,4716 Mahoning Avenue,AUSTINTOWN,OH,44515,238290," Garage door, commercial- or industrial-type, installation ",23,35034,1,0
1426151,A&K Earthmovers Inc.,A&K Earthmovers Inc.,,515 Windmill Road,Fallon,NV,89406,237310," Pavement, highway, road, street, bridge or airport runway, construction ",150,294439,1,0
1426152,Maine Track Maintenance,Maine Track Maintenance Waterville Office,10419133,4 Crossway St,Waterville,ME,4901,237990, Railroad construction ,20,46895,2,0
1426153,Wm T Spaeder Co Inc,Wm T Spaeder Co Inc,251306733,1602 East 18th Street,Erie,PA,16510,238220, Heating contractors ,205,413221,1,0
1426154,Hose Mster,Atlanta,341363520,5250 Fulton Industrial Blvd.,Atlanta,GA,30336,332999," Tubing, flexible metal, manufacturing ",25,48520,1,0
1426155,PEM LLC,Plastics Extrusion Machinery LLC,823717161,2475 E Northview,McPherson,KS,67460,333249, Extruding machinery for plastics and rubber manufacturing ,61,114886,1,0
1426156,Hose Mster,Texas,341363520,1903 Tellepsen Street,Houston,TX,77023,332999," Tubing, flexible metal, manufacturing ",38,74880,1,0
1426157,S&S Sprinkler Company LLC,S&S Sprinkler Company LLC,,2485 Burden Lane,Mobile,AL,36617,238220, Air system balancing and testing ,215,441606,2,0
1426158,"Casco manufacturing Solutions, Inc.","Casco Manufacturing Solutions, Inc.",310616387,3107 Spring Grove Avenue,Cincinnati,OH,45225,337910," Beds, sleep-system ensembles (i.e., flotation, adjustable), manufacturing ",40,1600,2,0
1426161,Plastics Extrusion Machinery LLC,Plastics Extrusion Machinery,825259151,2950 26th Ave SW,Tumwater,WA,98512,333249, Extruding machinery for plastics and rubber manufacturing ,14,13672,2,0
1426162,"N. Zobrist & Sons, Inc.","N. Zobrist & Sons, Inc.",,95 Commerce Dr.,Morton,IL,61550,236220, Commercial building construction general contractors ,13,24010,2,0
1426163,Berkot's Super Foods,Berkots 300,363186313,2141 Calistoga Drive,New Lenox,IL,60451,445110, Grocery stores ,66,81120,1,0
1426164,Berkot's Super Foods,Berkots 325,363186313,200 S. Bridge Street,AROMA PARK,IL,60910,445110, Grocery stores ,26,42640,1,0
1426165,Pinnacle Freight Systems Inc,Pinnacle Freight Systems Inc,,500 Cedar Lane,Florence,NJ,8016,484121," Trucking, general freight, long-distance, truckload (TL) ",75,168000,1,0
1426166,Berkot's Super Foods,Berkots 313,363186313,180 N. Front Street,Braidwood,IL,60408,445110, Grocery stores ,39,60600,1,0
1426167,"SICK, Inc.",SICK Stoughton,410970193,"800 Technology Center Drive, Suite 6",Stoughton,MA,2072,334413, Optoelectronic devices manufacturing ,57,104375,2,0
1426168,Berkot's Super Foods,Berkots 302,363186313,100 S. Broadway Street,COAL CITY,IL,60416,445110, Grocery stores ,80,116480,2,0
1426169,Children's Inn at NIH Inc.,Children's Inn at NIH Inc.,521638207,7 West Drive,Bethesda,MD,20814,624221, Temporary housing for families of medical patients ,2,77660,2,0
1426170,Snowbelt Hardwoods,Snowbelt Hardwoods,391788318,345 Ringle Drive,Hurley,WI,54534,423310," Lumber (e.g., dressed, finished, rough) merchant wholesalers ",32,61554,1,0
1426171,Thornton Carpet Inc,27106 Independence Ave,460429716,27106 Independence Ave,Sioux Falls,SD,57108,442210, Floor covering stores (except wood or ceramic tile only) ,61,136216,1,0
1426172,Berkot's Super Foods,Berkots 320,363186313,"317 W, Waupansie Street",Dwight,IL,60420,445110, Grocery stores ,42,58240,1,0
1426173,"SICK, Inc.",SICK Bloomington,410970193,6900 West 110th Street,Bloomington,MN,55438,334513, Instruments for industrial process control manufacturing ,466,867286,1,0
1426174,Berkot's Super Foods,Berkot's Laraway Warehouse,363186313,1151 Laraway Road,Joliet,IL,60433,445110," Commissaries, primarily groceries ",36,74880,2,0
1426175,"SICK, Inc.",SICK Houston,410970193," 5500 North Sam Houston Parkway West, Suite 100 ",Houston,TX,77086,334513, Instruments for industrial process control manufacturing ,78,147656,2,0
1426176,"Switzerland Hills, Inc.",Swiss Caps,351320698,19091 State Road 250,PATRIOT,IN,47038,336214, Caps for pick-up trucks manufacturing ,25,41952,2,0
1426177,"SICK, Inc.",SICK Savage,410970193,8633 Eagle Creek Parkway,Savage,MN,55378,334413," Photoelectric cells, solid-state (e.g., electronic eye), manufacturing ",176,336447,2,0
1426178,Emerald Packing Company LLC,Emerald Packing Company LLC,,2823 N Orange Blossom Trail,Orlando,FL,32804,115114," Fruit sorting, grading, and packing ",58,50935,1,0
1426179,"Wm. Masters Inc,","Wm. Masters Inc,",371057141,401 Olympia Dr.,Bloomington,IL,61704,238210, Electrical contractors ,105,190061,1,0
1426180,Berkots,Berkots 759,363186313,1557 W. Court St,Kankakee,IL,60901,445110, Grocery stores ,47,60340,2,0
1426181,Berkot's Super Foods,Berkot's 304,363186313,500 Summit Plaza,Lockport,IL,60441,445110, Grocery stores ,54,52640,2,0
1426182,Berkot's Super Foods,Berkots 315,363186313,100 Market Place,MANHATTAN,IL,60442,445110, Grocery stores ,51,66650,2,0
1426183,Berkot's Super Foods,Berkots 318,363186313,451 N. Locust Street,Manteno,IL,60950,445110, Grocery stores ,76,82160,2,0
1426184,"Middleton Lumber Company, LLC","Middleton Lumber Company, LLC",,5755 Hwy 641 North,Puryear,TN,38251,321113, Sawmills ,36,73440,1,0
1426185,International Paper,International Paper - Omaha Container,130872805,7517 F Street,Omaha,NE,68127,322211," Boxes, corrugated and solid fiber, made from purchased paper or paperboard ",128,273434,1,0
1426186,Berkot's Super Foods,Berkots 301,363186313,4640 W 147th Street,Midlothian,IL,60445,445110, Grocery stores ,63,92460,2,0
1426191,"IB Dickinson & Sons, Inc.",Dickinson Crane,,1089 Van Reed Road,Reading,PA,19605,238990, Crane rental with operator ,47,93715,1,0
1426192,Berkot's Super Foods,Berkots 309,363186313,20005 S. Wolf Road,MOKENA                 ,IL,60448,445110, Grocery stores ,84,128930,2,0
1426193,Berkot's Super Foods,Berkots 317,363186313,159 Stirling Place RT 1,Momence,IL,60954,445110, Grocery stores ,40,56160,2,0
1426194,Berkot's Super Foods,Berkots 307,363186313,312 S. Harlem ,Peotone,IL,60468,445110, Grocery stores ,37,48880,2,0
1426195,"Double J Manufacturing and Repair, Inc.",Double J Manufacturing & Repair,274257541,4957 63rd Ave SE,Jud,ND,584429531,236220," Warehouse construction (e.g., commercial, industrial, manufacturing, private) ",20,25400,1,0
1426196,Berkot's Super Foods,Berkot's 483,843376668,600 N. Lake Ave.,Twin Lakes,WI,53181,445110," Commissaries, primarily groceries ",63,93460,1,0
1426197,Berkot's Super Foods,Berkots 321,363186313,1152 E. Walnut Street,WATSEKA,IL,60970,445110, Grocery stores ,42,61360,2,0
1426198,Red Rock Oil Field Services,Red Rock Oil Field Services,562584343,199 S FM 1229,Colorado City,TX,79512,213112, Servicing oil and gas wells on a contract basis ,71,126992,1,0
1426199,Berkot's Super Foods,Berkots 322,363186313,700 W. Baltimore Street,Wilmington,IL,60481,445110, Grocery stores ,42,61360,2,0
1426200,"De Jager Construction, Inc","De Jager Construction, Inc",381910349,75 60th St SW,Wyoming,MI,49548,236220, Commercial building construction general contractors ,26,50168,1,0
1426205,New England Market,New England Market LLC,453742295,56 Oak Hill Way #A,Brockton,MA,2301,424490," Baby foods, canned, merchant wholesalers ",45,47937,2,0
1426206,Berkot's Super Foods,Berkots Office/Commissary ,363186313,1913 S. Briggs Street,Joliet,IL,60433,493110, General warehousing and storage ,91,189280,1,1
1426207,"Ryder System, Inc.",Ryder Doraville,590747035,6600 Button Gwinnett Drive,Doraville,GA,30340,811310, Commercial and industrial machinery repair and maintenance services ,20,46800,2,0
1426208,International Paper,Bogalusa Container,130872805,501 Avenue U,Bogalusa,LA,70427,322211," Boxes, corrugated and solid fiber, made from purchased paper or paperboard ",149,347518,1,0
1426209,Commonwealth Building Company,Commonwealth Building Company Inc.,42706053,265 Willard Street,Quincy,MA,2169,236220," Addition, alteration and renovation general contractors, commercial and institutional building ",33,68000,1,0
1426210,Sentry Equipment & Erectors,Sentry Equipment & Erectors,541150258,13150 Lynchburg Salem Turnpike,Forest,VA,24551,333922, Belt conveyor systems manufacturing ,235,553731,1,0
1426211,"Tranquility Plumbing, Inc.","Tranquility Plumbing, Inc.",651060192,4306 Kernel Circle,Fort Myers,FL,33916,238220, Plumbing contractors ,58,121082,1,0
1426212,"Diamond & Thiel Construction Co., Inc.","Diamond & Thiel Construction Co., Inc.",161181088,408 North Midler Ave.,Syracuse,NY,13206,236220," Addition, alteration and renovation for-sale builders, commercial and institutional building ",21,43384,2,0
1426213,Mike Owen Fabrication Inc.,Mike Owen Fabrication Inc.,203988222,1133 32nd street,Bakersfield ,CA,93301,236210, Manufacturing building construction ,33,83880,2,0
1426214,"St Paul Hermitage, LLC","St Paul Hermitage, LLC",462767916,501 N 17th Ave,Beech Grove,IN,46107,623110, Retirement homes with nursing care ,72,15234,1,0
1426215,Pyramid Inc.,Pyramid Inc.,426069350,522 N. 9th AVE. E.,Newton,IA,50208,325211, Acetal resins manufacturing ,56,75075,2,0
1426216,Nelson Air Device Corporation,Nelson Air Device Corporation,131091525,46-28 54th Avenue,Maspeth,NY,11378,238220," Heating, ventilation and air-conditioning (HVAC) contractors ",40,72581,2,0
1426217,Alpha Baking Company,Grand Rapids,310969495,1661 28th St. ,Wyoming ,MI,49519,311812, Rolls and buns (including frozen) made in commercial bakeries ,102,225800,1,0
1426218,CW Sheet Metal Inc,CW Sheet Metal Inc,112952956,46-28 54th Avenue,Maspeth,NY,11378,238220," Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation ",49,97246,1,0
1426219,International Paper,Lafayette Container,,204 Southpark Rd,Lafayette,LA,70508,322211," Boxes, corrugated and solid fiber, made from purchased paper or paperboard ",138,311785,1,0
1426220,City Piping Corp,City Piping Corp,112969613,46-28 54th Avenue,Maspeth,NY,11378,238220," Heating, ventilation and air-conditioning (HVAC) contractors ",14,31587,2,0
1426221,Industrial Corrosion Control,Industrial Corrosion Control,640781405,11130 canal road,Gulfport,MS,39505,238320, Ship painting contractors ,98,213801,1,0
1426222,"Sandia Construction, INC.","Sandia Construction, INC.",752473928,2723 81st Street ,Lubbock,TX,79423,236220," Addition, alteration and renovation general contractors, commercial warehouse ",49,101727,2,0
1426223,,"Medford Roofing, Inc",273343484,3687 Summer Ave.,Memphis,TN,38122,238160, Roof membrane installation ,22,40965,2,0
1426224,Peavine Construction Inc.,Peavine Construction Inc.,880200342,2332 Larkin Circle,Sparks,NV,89431,236115," Residential construction, single-family, general contractors ",85,147699,1,0
1426225,NuMat Systems LLC,NuMat Systems LLC,263941815,66276 HWY 22,ROANOKE,AL,36274,326299," Doormats, rubber, manufacturing ",15,18068,2,0
1426226,Comfort Systems USA,Eastern Heating & Cooling Inc.,,880 Broadway,Albany,NY,12207,238220," Heating, ventilation and air-conditioning (HVAC) contractors ",81,167457,1,0
1426227,Empire Air Specialties,Empire Air Specialties,,40 Kraft Ave,Albany,NY,12205,332322," Ducts, sheet metal, manufacturing ",22,42497,1,0
1426228,Bullseye Construction LLC,Oilfield Division,461472503,11352 Lovington Hwy,Artesia,NM,88210,238910," Mine site preparation and related construction activities, construction contractors ",29,65018,2,0
1426229,Academy Roofing and Sheet Metal,Academy Roofing and Sheet Metal of the Midwest Inc.,262559067,6361 NE 14th Street,Des Moines,IA,503131212,238160, Low slope roofing installation ,86,197173,2,0
1426230,Roger Zatkoff Company,Farmington Hills,381683798,23230 Industrial Park Dr,Farmington Hills,MI,48335,423840,5085,43,77761,2,0
1426231,Roger Zatkoff Company,Cincinnati,381683798,9220 Seward Road,Fairfield,OH,45014,423840,5085,22,38782,2,0
1426232,Roger Zatkoff Company,Cleveland,381683798,2475 Edison Blvd,Twinsburg,OH,44087,423840,5085,23,40461,2,0
1426233,Roger Zatkoff Company,Grand Rapids,381683798,4678 50th Street S.E.,Grand Rapids,MI,49512,423840,5085,26,46381,2,0
1426234,Roger Zatkoff Company,Indianapolis,381683798,2730 Enterprise Drive,Anderson,IN,46013,423840,5085,11,20389,2,0
1426235,Roger Zatkoff Company,Raleigh,381683798,8441 Garvey Dr,Raleigh,NC,27616,423840,5085,2,2758,2,0
1426236,Roger Zatkoff Company,Saginaw,381683798,5925 Sherman Road,Saginaw,MI,48604,423840,5085,12,20432,2,0
1426237,Roger Zatkoff Company,Toledo,381683798,3910 Technology Drive,Maumee,OH,43537,423840,5085,21,36677,2,0
1426238,Roger Zatkoff Company,Warren,381683798,31773 Denton Drive,Warren,MI,48092,423840,5085,26,47904,1,0
1426239,Kenworth Sales,Harrisonburg,540719225,3440 South Main St,Harrisonburg,VA,22801,441110,New Car Dealers,99,210080,1,0
1426240,Kenworth Sales,Lynchburg,540719225,5605 Pleasant Valley Rd,Lynchburg,VA,24504,441110,New Car Dealers,43,68800,1,0
1426241,Kenworth Sales,Richmond,540719225,8900 Burge Ave,Richmond,VA,23237,441110,New Car Dealers,60,124800,1,0
1426242,Kenworth Sales,Keyser,540719225,5740 Northwestern Tpke,Keyser,WV,26726,441110,New Car Dealers,19,39520,1,0
1426243,Kenworth Sales,Roanoke,540719225,4700 Kenworth Dr,Roanoke,VA,24019,441110,New Car Dealers,40,83200,1,0
1426244,Kenworth Sales,Chesapeake ,540719225,1031 Cavalier Blvd,Chesapeake,VA,23323,441110,New Car Dealers,44,91520,1,0
1426245,Kenworth Sales,Manassas,540719225,9599 Hawkins Dr,Manassas,VA,20109,441110,New Car Dealers,32,66560,2,0
1426246,Kenworth Sales,Hagerstown,540719225,13510 Volvo Way,Hagerstown,MD,21740,441110,New Car Dealers,44,91520,2,0
1426247,Firestone Enterprises Inc,Firestone Enterprises Inc,251577643,2200 State Route 130,Latrobe,PA,15650,484110," General freight trucking, local ",37,70000,2,0
1426248,"TEMCO, INC.","TEMCO, INC",430971971,16950 RINNE RD,MARTHASVILLE,MO,63357,624120," Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities ",60,86947,2,0
1426249,"CORRECT CRAFT HOLDING COMPANY, LLC","Nautique Boat Company, Inc.",590569086,14700 aerospace parkway,Orlando,FL,32832,336612," Boat yards (i.e., boat manufacturing facilities) ",733,2018353,1,0
