,Unnamed: 0,State,Area name,FIPS,TotalVote2024,DemVote2024,RepVote2024,OtherVote2024,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2008-12","High school diploma only, 2008-12","Some college or associate's degree, 2008-12","Bachelor's degree or higher, 2008-12","Percent of adults with less than a high school diploma, 2008-12","Percent of adults with a high school diploma only, 2008-12","Percent of adults completing some college or associate's degree, 2008-12","Percent of adults with a bachelor's degree or higher, 2008-12","Less than a high school diploma, 2018-22","High school diploma only, 2018-22","Some college or associate's degree, 2018-22","Bachelor's degree or higher, 2018-22","Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22",Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Unemp2001,Unemp2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,RepVote2020,DemVote2020,TotalVote2020,pctdem2008,pctdem2012,pctdem2016,pctrep2008,pctrep2012,pctrep2016,dempct2024,dempct2020,DiffPct,FIPS2,FIPS3,Diff3
10,10,AL,Choctaw County,1023,6643,2511.0,4094,38,3704.0,3670.0,2182.0,1013.0,35.0,34.7,20.6,9.6,2488.0,3683.0,2298.0,1148.0,25.8708537,38.29676614,23.89518561,11.93719455,1594.0,3460.0,2817.0,1181.0,17.6093681,38.223597,31.12019443,13.04684048,9.0,10.0,0.0,7.2,3.8,40601.0,75.2,4296.0,3127.0,7464.0,46.06,47.52,42.64,53.5,52.11,56.31,37.79918711425561,41.89442658092176,-4.0952394666661505,1023,01023,-1
11,11,AL,Clarke County,1025,11939,4917.0,6956,66,5165.0,6667.0,3733.0,2137.0,29.2,37.7,21.1,12.1,3716.0,7122.0,4190.0,2186.0,21.58708028,41.3733008,24.34065296,12.69896596,2980.0,6569.0,4261.0,2205.0,18.60755542,41.01779582,26.60630659,13.76834218,7.0,11.0,0.0,9.9,5.0,45447.0,84.2,7324.0,5755.0,13135.0,44.02,45.73,44.12,55.57,53.93,54.79,41.184353798475584,43.81423677198325,-2.6298829735076694,1025,01025,-1
12,12,AL,Clay County,1027,6719,986.0,5693,40,3322.0,3690.0,1992.0,763.0,34.0,37.8,20.4,7.8,2499.0,3696.0,2622.0,856.0,25.83479789,38.20944898,27.10637858,8.849374548,1675.0,3761.0,3334.0,1283.0,16.66169303,37.4117179,33.16422958,12.76235949,9.0,10.0,0.0,6.1,2.3,47036.0,87.1,5601.0,1267.0,6930.0,25.81,26.67,18.67,73.09,72.31,79.18,14.674802798035422,18.282828282828284,-3.6080254847928614,1027,01027,-1
13,13,AL,Cleburne County,1029,7647,605.0,6984,58,3536.0,3417.0,1701.0,879.0,37.1,35.8,17.8,9.2,2622.0,3871.0,2716.0,964.0,25.77410793,38.05170549,26.69812248,9.476064091,1855.0,4145.0,2877.0,1753.0,17.45061148,38.99341486,27.06491063,16.49106303,8.0,4.0,0.0,5.3,2.4,49769.0,92.2,6484.0,675.0,7227.0,17.99,15.4,10.37,80.35,83.62,87.43,7.911599319994769,9.339975093399751,-1.4283757734049818,1029,01029,-1
14,14,AL,Coffee County,1031,22263,4585.0,17457,221,7755.0,7571.0,7985.0,5574.0,26.8,26.2,27.6,19.3,6092.0,9877.0,9897.0,7543.0,18.23460744,29.56388997,29.62375408,22.57774851,4891.0,10581.0,13185.0,7899.0,13.37947259,28.94463289,36.06795054,21.60794398,4.0,5.0,0.0,6.3,2.5,55052.0,102.0,16899.0,5076.0,22275.0,25.23,24.91,20.33,74.12,74.18,76.44,20.594708709518034,22.78787878787879,-2.1931700783607546,1031,01031,-1
15,15,AL,Colbert County,1033,27014,7092.0,19614,308,9972.0,12665.0,9474.0,5273.0,26.7,33.9,25.3,14.1,6289.0,13254.0,11550.0,6843.0,16.57792071,34.93778996,30.44601434,18.03827499,5561.0,14960.0,12946.0,7368.0,13.61821966,36.63523938,31.70319579,18.04334517,3.0,2.0,1.0,6.9,3.0,53341.0,98.8,19203.0,8343.0,27886.0,39.06,39.2,29.35,59.33,59.59,67.21,26.25305397201451,29.918238542637884,-3.6651845706233743,1033,01033,-1
16,16,AL,Conecuh County,1035,6051,2580.0,3423,48,2984.0,3518.0,1877.0,851.0,32.3,38.1,20.3,9.2,2164.0,3681.0,2216.0,869.0,24.23292273,41.2206047,24.81522956,9.731243001,886.0,4046.0,2334.0,1116.0,10.57026963,48.2701026,27.84538296,13.31424481,7.0,11.0,0.0,7.4,3.5,35621.0,66.0,3442.0,2966.0,6441.0,49.39,50.63,46.77,49.98,48.97,51.94,42.63758056519583,46.04875019406924,-3.4111696288734095,1035,01035,-1
17,17,AL,Coosa County,1037,5257,1475.0,3750,32,2831.0,3164.0,1597.0,663.0,34.3,38.3,19.3,8.0,1974.0,3576.0,1816.0,787.0,24.21194652,43.8611554,22.27400957,9.652888507,1329.0,3334.0,2530.0,856.0,16.51136787,41.42129457,31.43247608,10.63486147,8.0,3.0,0.0,6.8,2.5,45954.0,85.1,3631.0,1796.0,5479.0,40.86,41.58,33.93,58.39,57.87,64.38,28.05782765836028,32.779704325606865,-4.721876667246583,1037,01037,-1
18,18,AL,Covington County,1039,17077,2309.0,14664,104,8115.0,8473.0,5975.0,3142.0,31.6,33.0,23.2,12.2,5936.0,8949.0,7718.0,3607.0,22.64784433,34.1434567,29.44677604,13.76192293,3767.0,9593.0,8774.0,4313.0,14.2435815,36.27254509,33.17578553,16.30808787,6.0,6.0,0.0,6.4,2.6,44188.0,81.8,14586.0,2721.0,17430.0,20.52,20.48,14.97,78.82,78.8,83.23,13.521110265269076,15.611015490533562,-2.089905225264486,1039,01039,-1
19,19,AL,Crenshaw County,1041,6475,1453.0,4993,29,3700.0,2689.0,1840.0,1039.0,39.9,29.0,19.9,11.2,2245.0,3691.0,2496.0,1045.0,23.6889311,38.94692413,26.33744856,11.02669621,1640.0,3885.0,2050.0,1573.0,17.92741583,42.46829908,22.40926979,17.1950153,8.0,6.0,0.0,6.1,2.6,38037.0,70.5,4864.0,1700.0,6617.0,30.81,31.94,26.55,68.65,67.48,72.01,22.44015444015444,25.691400936980504,-3.251246496826063,1041,01041,-1
20,20,AL,Cullman County,1043,43104,4033.0,38669,402,15322.0,16584.0,13719.0,6162.0,29.6,32.0,26.5,11.9,11642.0,17913.0,17584.0,7780.0,21.19849233,32.61712704,32.01806297,14.16631767,9466.0,19297.0,21501.0,11256.0,15.38686606,31.36703511,34.94960988,18.29648895,4.0,3.0,0.0,4.7,2.1,55036.0,101.9,36880.0,4478.0,41851.0,16.61,14.66,10.03,81.85,84.16,87.1,9.356440237564959,10.699863802537573,-1.343423564972614,1043,01043,-1
21,21,AL,Dale County,1045,19130,4478.0,14473,179,6976.0,9159.0,10857.0,4398.0,22.2,29.2,34.6,14.0,5218.0,10094.0,11915.0,5793.0,15.80254391,30.56935191,36.0841914,17.54391278,4830.0,10554.0,11848.0,6455.0,14.33787514,31.32959302,35.17083742,19.16169442,4.0,5.0,0.0,5.6,2.6,50086.0,92.8,14303.0,5170.0,19738.0,27.28,28.49,23.54,71.87,70.64,73.65,23.40825927861997,26.193130003039823,-2.7848707244198536,1045,01045,-1
22,22,AL,Dallas County,1047,15542,10233.0,5188,121,8524.0,9646.0,6568.0,4004.0,29.7,33.6,22.9,13.9,6884.0,9841.0,7461.0,3723.0,24.66587839,35.26102691,26.73331183,13.33978287,3817.0,10304.0,7785.0,4078.0,14.68980911,39.65517241,29.96074507,15.6942734,4.0,5.0,0.0,9.3,5.0,33159.0,61.4,5524.0,12230.0,17864.0,67.07,69.74,68.31,32.6,30.01,30.81,65.84094711105392,68.46171070309002,-2.6207635920360985,1047,01047,-1
23,23,AL,DeKalb County,1049,29657,3757.0,25631,269,15469.0,14549.0,9194.0,3528.0,36.2,34.0,21.5,8.3,13811.0,16669.0,11738.0,4623.0,29.48485301,35.5863453,25.05924297,9.86955872,10777.0,15375.0,15387.0,6846.0,22.27343185,31.77637698,31.80117805,14.14901312,6.0,6.0,0.0,4.9,2.3,45062.0,83.5,24767.0,4281.0,29356.0,23.56,21.95,14.02,74.77,76.82,82.88,12.668172775398725,14.583049461779535,-1.9148766863808095,1049,01049,-1
24,24,AL,Elmore County,1051,41576,9764.0,31336,476,9679.0,14576.0,11749.0,7173.0,22.4,33.8,27.2,16.6,7329.0,18197.0,16358.0,11206.0,13.80485967,34.27575815,30.81182897,21.10755321,6992.0,20640.0,18665.0,14749.0,11.4536579,33.81056908,30.57530387,24.16046915,2.0,2.0,1.0,4.3,2.2,63147.0,117.0,30164.0,10367.0,41030.0,24.19,25.23,22.66,75.12,73.98,74.17,23.484702713103715,25.26687789422374,-1.7821751811200244,1051,01051,-1
25,25,AL,Escambia County,1053,14929,3956.0,10866,107,8030.0,8860.0,5927.0,2693.0,31.5,34.7,23.2,10.6,6508.0,9156.0,7369.0,3197.0,24.81128479,34.9065955,28.09378574,12.18833397,4515.0,11293.0,6456.0,3197.0,17.73300342,44.35411021,25.35642748,12.5564589,6.0,6.0,0.0,6.2,3.1,40506.0,75.0,10869.0,4918.0,15910.0,35.36,36.92,31.02,63.89,62.46,66.92,26.498760801125325,30.91137649277184,-4.412615691646515,1053,01053,-1
26,26,AL,Etowah County,1055,45894,9969.0,35470,455,18115.0,22531.0,19811.0,9372.0,25.9,32.3,28.4,13.4,13038.0,23262.0,24253.0,10830.0,18.26485298,32.58759088,33.97587661,15.17167953,10094.0,24304.0,25432.0,12885.0,13.88159252,33.42364024,34.97490201,17.71986523,3.0,2.0,1.0,6.7,3.0,46308.0,85.8,35528.0,11567.0,47728.0,30.17,30.1,23.64,68.39,68.49,73.26,21.72179369852268,24.23524974857526,-2.5134560500525787,1055,01055,-1
27,27,AL,Fayette County,1057,8364,1141.0,7154,69,4265.0,4404.0,2753.0,1157.0,33.9,35.0,21.9,9.2,2916.0,4690.0,3047.0,1393.0,24.20720571,38.934086,25.29470364,11.56400465,1858.0,4551.0,3533.0,1486.0,16.25831292,39.82324116,30.91529576,13.00315016,6.0,6.0,0.0,6.4,2.7,46122.0,85.4,7300.0,1395.0,8766.0,25.06,22.87,16.51,73.93,76.19,81.37,13.64179818268771,15.91375770020534,-2.2719595175176295,1057,01057,-1
28,28,AL,Franklin County,1059,12082,1566.0,10404,112,7904.0,6363.0,4572.0,2021.0,37.9,30.5,21.9,9.7,5671.0,7119.0,5704.0,2560.0,26.93549919,33.81305215,27.092239,12.15920965,4249.0,8571.0,5365.0,3166.0,19.90070723,40.14331881,25.12762868,14.82834528,6.0,6.0,0.0,7.7,2.3,45440.0,84.2,10376.0,2086.0,12578.0,29.67,29.2,18.25,68.83,69.68,78.62,12.961430226783644,16.584512641119414,-3.6230824143357694,1059,01059,-1
29,29,AL,Geneva County,1061,12394,1389.0,10924,81,6046.0,5626.0,4390.0,1526.0,34.4,32.0,25.0,8.7,4631.0,6956.0,5113.0,2037.0,24.71580296,37.12440626,27.28825319,10.8715376,3151.0,6960.0,6230.0,2641.0,16.59993678,36.66631546,32.82056685,13.91318091,3.0,2.0,1.0,6.5,2.4,43206.0,80.0,10848.0,1595.0,12545.0,18.31,18.01,12.97,80.78,81.05,85.0,11.207035662417299,12.714228776404942,-1.5071931139876433,1061,01061,-1
30,30,AL,Greene County,1063,4037,3131.0,885,21,2182.0,2165.0,1205.0,652.0,35.2,34.9,19.4,10.5,1457.0,2349.0,1466.0,694.0,24.4217231,39.37311431,24.57257794,11.63258465,987.0,2023.0,1528.0,911.0,18.11341531,37.12607818,28.04184254,16.71866398,8.0,6.0,0.0,7.2,4.4,30225.0,56.0,875.0,3884.0,4775.0,83.09,84.66,82.23,16.51,15.06,17.17,77.55759227148873,81.34031413612566,-3.782721864636926,1063,01063,-1
31,31,AL,Hale County,1065,7292,3861.0,3363,68,3683.0,3803.0,2247.0,858.0,34.8,35.9,21.2,8.1,2809.0,3928.0,2499.0,1227.0,26.84698461,37.54181401,23.88416324,11.72703813,1939.0,3768.0,2639.0,1634.0,19.42885772,37.75551102,26.44288577,16.37274549,3.0,2.0,1.0,7.3,3.9,41995.0,77.8,3190.0,4687.0,7922.0,60.65,62.61,59.39,38.96,37.14,39.47,52.948436642896326,59.16435243625347,-6.215915793357148,1065,01065,-1
32,32,AL,Henry County,1067,9310,2259.0,6983,68,3654.0,3192.0,2576.0,1545.0,33.3,29.1,23.5,14.1,2532.0,4369.0,3277.0,1903.0,20.95852992,36.16422482,27.12523798,15.75200728,2320.0,4121.0,3487.0,2633.0,18.46986705,32.80789746,27.76052862,20.96170687,3.0,2.0,1.0,5.4,2.7,56389.0,104.4,6607.0,2606.0,9298.0,34.9,35.19,28.39,64.58,64.25,69.77,24.26423200859291,28.02753280275328,-3.763300794160372,1067,01067,-1
33,33,AL,Houston County,1069,44037,11258.0,32255,524,13771.0,17809.0,16274.0,10817.0,23.5,30.4,27.7,18.4,11414.0,23426.0,20239.0,13136.0,16.73239024,34.34142051,29.66942755,19.25676171,9164.0,23675.0,24535.0,16619.0,12.38495533,31.99626992,33.15854202,22.46023272,3.0,2.0,1.0,4.3,2.6,48701.0,90.2,32618.0,12917.0,46173.0,29.29,29.5,25.01,70.09,69.83,72.07,25.564865908213548,27.975223615532887,-2.4103577073193385,1069,01069,-1
34,34,AL,Jackson County,1071,23554,3274.0,20073,207,12006.0,12707.0,7924.0,3798.0,33.0,34.9,21.7,10.4,9316.0,13553.0,9403.0,4914.0,25.05243909,36.44651213,25.28639811,13.21465067,6795.0,14144.0,10761.0,6123.0,17.96525923,37.3952357,28.45094255,16.18856251,6.0,5.0,0.0,6.6,2.5,46998.0,87.0,19670.0,3717.0,23636.0,30.54,28.29,17.5,67.47,70.17,79.45,13.899974526619683,15.726011169402605,-1.8260366427829222,1071,01071,-1
35,35,AL,Jefferson County,1073,298280,161828.0,130991,5461,82950.0,121233.0,123142.0,106833.0,19.1,27.9,28.4,24.6,56047.0,120355.0,134419.0,128710.0,12.75154653,27.38259645,30.58237075,29.28348626,40868.0,119359.0,134411.0,162672.0,8.936607553,26.10023835,29.39165992,35.57149417,1.0,1.0,1.0,4.4,2.6,55210.0,102.3,138843.0,181688.0,325848.0,52.15,52.6,51.57,47.07,46.62,44.3,54.25372133565777,55.758513171785616,-1.5047918361278434,1073,01073,-1
36,36,AL,Lamar County,1075,6884,805.0,6028,51,3759.0,4036.0,2125.0,838.0,34.9,37.5,19.8,7.8,2427.0,4010.0,2751.0,1038.0,23.73362018,39.21376882,26.90201447,10.15059652,1774.0,4043.0,3064.0,1013.0,17.93005862,40.86314938,30.96826359,10.2385284,8.0,7.0,0.0,8.1,2.7,44265.0,82.0,6174.0,978.0,7193.0,22.81,22.97,14.87,76.59,76.15,83.59,11.693782684485765,13.59655220353121,-1.902769519045446,1075,01075,-1
37,37,AL,Lauderdale County,1077,43515,10299.0,32615,601,13915.0,20105.0,13993.0,10881.0,23.6,34.1,23.8,18.5,10497.0,21061.0,17406.0,13704.0,16.75017553,33.60726368,27.77494096,21.86761984,7239.0,22507.0,18144.0,16674.0,11.2121306,34.85998389,28.10234806,25.82553745,3.0,2.0,1.0,6.6,2.6,52222.0,96.7,31721.0,11915.0,44339.0,34.98,33.88,25.18,63.16,64.76,70.59,23.667700792830058,26.872505018155575,-3.2048042253255176,1077,01077,-1
38,38,AL,Lawrence County,1079,16050,2975.0,12961,114,7872.0,9029.0,4270.0,1723.0,34.4,39.4,18.7,7.5,5132.0,9166.0,5953.0,3023.0,22.05035662,39.38300249,25.57789808,12.9887428,4070.0,9660.0,6043.0,3705.0,17.3353778,41.14490161,25.73898969,15.7807309,3.0,2.0,1.0,6.0,2.4,55555.0,102.9,12322.0,3562.0,16031.0,35.18,35.92,24.46,63.19,62.88,73.05,18.53582554517134,22.219449815981537,-3.683624270810199,1079,01079,-1
39,39,AL,Lee County,1081,72862,25672.0,45883,1307,11557.0,16576.0,16686.0,17351.0,18.6,26.7,26.8,27.9,11229.0,21979.0,22042.0,25136.0,13.9688503,27.34182569,27.42019755,31.26912646,8875.0,23274.0,31927.0,43008.0,8.287886145,21.7343394,29.81491166,40.1628628,3.0,2.0,1.0,4.1,2.4,54188.0,100.4,42221.0,27860.0,71449.0,39.57,39.33,35.87,59.33,59.22,58.48,35.23372951607148,38.992848045459,-3.7591185293875213,1081,01081,-1
40,40,AL,Limestone County,1083,52836,14452.0,37524,860,11081.0,14102.0,10924.0,7349.0,25.5,32.5,25.1,16.9,10757.0,17625.0,16017.0,12414.0,18.93404679,31.02282928,28.19249116,21.85063278,9260.0,20320.0,21910.0,21577.0,12.67329985,27.81009211,29.98617707,29.53043097,2.0,2.0,1.0,4.4,2.1,69207.0,128.2,34640.0,13672.0,49235.0,28.42,27.72,23.5,70.33,71.34,72.14,27.352562646680294,27.768863613283234,-0.4163009666029396,1083,01083,-1
41,41,AL,Lowndes County,1085,5650,3865.0,1755,30,2925.0,2731.0,1626.0,901.0,35.7,33.4,19.9,11.0,1769.0,2891.0,1717.0,1052.0,23.81208776,38.91506259,23.11212815,14.1607215,1173.0,2925.0,1789.0,1148.0,16.67377399,41.57782516,25.42999289,16.31840796,2.0,2.0,1.0,7.3,5.2,36993.0,68.5,1836.0,4972.0,6835.0,74.87,76.41,73.06,24.86,23.35,26.2,68.40707964601769,72.74323335771763,-4.336153711699936,1085,01085,-1
42,42,AL,Macon County,1087,7818,6069.0,1681,68,4188.0,3486.0,3664.0,2617.0,30.0,25.0,26.3,18.8,2640.0,3758.0,4005.0,2512.0,20.44134727,29.09794812,31.01045296,19.45025165,2053.0,3763.0,3622.0,2442.0,17.28114478,31.67508418,30.48821549,20.55555556,6.0,6.0,0.0,5.9,3.8,35354.0,65.5,1541.0,7108.0,8723.0,86.88,87.02,82.78,12.83,12.81,15.66,77.62854950115118,81.48572738736674,-3.8571778862155526,1087,01087,-1
43,43,AL,Madison County,1089,197007,87509.0,105149,4349,26308.0,39591.0,52676.0,61814.0,14.6,21.9,29.2,34.3,23316.0,48511.0,65908.0,83642.0,10.53225945,21.91329723,29.77183718,37.78260614,20784.0,50873.0,75132.0,120516.0,7.775387666,19.03181759,28.10721835,45.0855764,2.0,2.0,1.0,3.9,2.1,78386.0,145.2,102780.0,87286.0,194767.0,41.93,39.99,38.45,56.88,58.61,54.79,44.41923383433076,44.815600178675034,-0.39636634434427265,1089,01089,-1
44,44,AL,Marengo County,1091,9667,4621.0,4990,56,4020.0,5351.0,3223.0,1732.0,28.1,37.4,22.5,12.1,2386.0,5311.0,3882.0,2482.0,16.96892113,37.77114003,27.60827822,17.65166062,1416.0,4633.0,4094.0,2854.0,10.89482188,35.6466877,31.49957683,21.9589136,7.0,11.0,0.0,6.0,3.4,42048.0,77.9,5343.0,5488.0,10900.0,51.66,53.45,51.07,48.09,46.25,47.6,47.801799937933175,50.34862385321101,-2.546823915277834,1091,01091,-1
45,45,AL,Marion County,1093,13535,1196.0,12238,101,7962.0,7107.0,4823.0,1719.0,36.8,32.9,22.3,8.0,6140.0,7605.0,6058.0,1887.0,28.30797603,35.06224066,27.92992162,8.699861687,4028.0,7376.0,6922.0,2459.0,19.37936012,35.48713014,33.30286264,11.8306471,7.0,11.0,0.0,8.8,2.5,44636.0,82.7,12205.0,1463.0,13807.0,21.04,18.58,11.03,77.18,80.11,86.83,8.836350203176949,10.596074454986601,-1.7597242518096525,1093,01093,-1
46,46,AL,Marshall County,1095,40285,5535.0,34350,400,16845.0,16758.0,13719.0,7639.0,30.6,30.5,25.0,13.9,15665.0,19643.0,16821.0,9448.0,25.43969339,31.89989769,27.31701772,15.3433912,10161.0,20737.0,20174.0,13923.0,15.63351027,31.90553119,31.03931072,21.42164782,4.0,5.0,0.0,5.6,2.1,50858.0,94.2,33191.0,5943.0,39655.0,21.22,19.34,13.92,77.57,79.43,82.78,13.739605312150925,14.98676081200353,-1.2471554998526049,1095,01095,-1
47,47,AL,Mobile County,1097,173591,71279.0,99981,2331,58223.0,79822.0,65452.0,46625.0,23.3,31.9,26.2,18.6,43800.0,89666.0,79929.0,54313.0,16.36110987,33.4939561,29.85678426,20.28814978,33210.0,95565.0,83342.0,67751.0,11.8663084,34.14645476,29.77903869,24.20819815,2.0,2.0,1.0,5.7,3.2,49848.0,92.3,101243.0,79474.0,183164.0,45.3,45.04,41.79,54.04,54.27,55.06,41.061460559591225,43.38953069380446,-2.3280701342132346,1097,01097,-1
48,48,AL,Monroe County,1099,9801,3736.0,5997,68,4939.0,5285.0,3341.0,1813.0,32.1,34.4,21.7,11.8,3695.0,6305.0,3845.0,1514.0,24.05755583,41.05084966,25.03418191,9.857412592,2235.0,6035.0,3585.0,1852.0,16.30553732,44.02859853,26.15451959,13.51134457,7.0,11.0,0.0,7.3,4.1,40997.0,75.9,6147.0,4455.0,10668.0,44.66,45.89,42.18,54.88,53.61,56.42,38.11855933068054,41.760404949381325,-3.641845618700785,1099,01099,-1
