Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Authors,Description,Categories,Page Count,Published Date
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Florida,Lee County Schools,Mar-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Santa Rosa County District Schools,Apr-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Walton County School District,Apr-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Georgia,Forsyth County Schools,Jan-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Idaho,Nampa School District,May-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Iowa,Ankeny Community School District,Nov-21,Formal Challenge,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Iowa,Ottumwa Community School District,Apr-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Kansas,Derby Public Schools,Nov-21,Formal Challenge,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Kansas,Goddard Public Schools,Nov-21,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Michigan,Gladwin Community Schools,May-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Mississippi,Madison County Schools,Apr-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
